observationUri,Timeliness,Relevance,Availability,Accuracy
http://dtp-24.sncs.abdn.ac.uk:8093/observation/1353baca-778a-4e35-bf37-8b6c1fdab840,0.0,0.71,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/8e3386ff-1532-489e-b826-cffe67869ed2,0.0,0.85,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/0ab4009f-2617-4e18-921b-1630afa62a50,0.0,0.85,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/6a567252-2b6c-4c35-840f-925519150b0d,0.0,0.61,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/9e922ae4-752d-473b-aa75-3fbbf60213c0,0.0,0.82,0.92,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/7e6a8f6f-1ce3-4d5f-b2ff-9d68caeb0667,0.0,0.82,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/e737612c-eadf-43ef-be3b-36d823b38db9,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/547a083c-123b-4dc1-8010-c37895d3975a,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/6911d6b9-1afc-4bce-b53c-c8fa696a7d54,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/56faaa7b-5509-42e5-9853-c12f27ae438c,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/32de5922-311d-4c0c-aca9-a9d5d9c8dd47,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/6131bba3-6957-4cb8-b157-6ec15515f07d,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/557ba632-18eb-4145-9603-2170f12ea6a0,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/be1c8eb2-48e3-43fe-a53a-fc499767cd9a,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/2743ce34-4ba4-424c-8ffd-e63bc3157acb,0.0,0.88,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/8cf1eca5-0113-4839-954b-e9632c95bde8,0.0,0.58,0.36,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/c3362fa9-eb8a-4b00-b4a8-ccd57d373986,0.0,0.58,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/14d915b1-7984-4dc6-9aab-52f2c0f7b45d,0.0,0.87,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/521fb911-c617-497c-8662-1be5f4c6750f,0.0,0.87,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/8c73c380-7b45-4741-acfd-c304531f92f0,0.0,0.87,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/ca6abc41-49fe-475a-9779-866c925dc807,0.0,0.87,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/3c7ab6b7-34ad-4343-9f20-a1698bf30567,0.0,0.87,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/be790ace-ea2a-429a-8539-bda596327b68,0.0,0.87,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/2b3e43d0-dc59-4b7e-9ca8-788cc4445a6e,0.0,0.87,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/f3cf9aaa-5683-49db-a63a-8dac0fa3ed2a,0.0,0.65,0.01,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/900473a0-550d-4ddf-a606-93c896013d37,0.0,0.65,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/45e9566d-dc09-4f17-8d62-db5278920a79,0.0,0.61,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/4588f6e8-eeec-4989-9848-1422306e5244,0.0,0.80,0.15,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/5bd96797-4c3b-4592-98f8-73efeb9ab59b,0.0,0.78,0.77,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/484ed255-3bd2-434e-966b-a966a77f52c3,0.0,0.78,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/6f924fac-45fa-49b7-9b69-bb690d607a7b,0.0,0.83,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/ae849e74-a4ee-4708-9acb-cf2c4cd642e2,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/73f27465-29c5-47a1-a2e7-e39d3c5801a8,0.0,0.71,0.59,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/0469032c-1153-4c28-ab63-7dc45e8c9cc9,0.0,0.71,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/90f0a18f-a67d-4ddd-8451-2b3be7849e1a,0.0,0.71,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/224e96ea-cbcf-4f46-a066-5e1907d50fd8,0.0,0.71,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/9b0d156e-8463-4d34-a982-783e6fd58cfd,0.0,0.69,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/58df207d-d110-4528-800a-c43b8f476868,0.0,0.66,0.45,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/5d6a1bd3-6a0f-4934-b4e2-f0ba5a2c7afd,0.0,0.66,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/b4599c30-1f14-43ab-9e98-3e7cb4ef0cce,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/54dd517b-303a-4e8a-baab-92c340e3180a,0.0,0.86,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/d1b53368-0c4a-47d2-a6b7-07d2fa12baec,0.0,0.83,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/6bfabbf6-772a-41e3-8de3-96389a9a3b9c,0.0,0.83,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/9a3275aa-9ffc-4d3b-9e61-978c51c7e22d,0.0,0.66,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/431a28fb-a1d5-488f-80c4-78286830dd43,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/91acc36b-28e8-4150-bc41-ea2b33ad72ce,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/464736e2-4eb9-4e15-8816-fa432fc61777,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/4687a834-1e5e-40f0-bcc2-237e303a6152,0.0,0.80,0.0,0.0
